model,split,n,Hit@1,Hit@5,Hit@10,Hit@25,Hit@50,Hit@100,MRR
BioLORD-2023,backward_family_held_out,13169,0.3452046472776976,0.512947072670666,0.5853139949882299,0.6712734452122409,0.7361227124307085,0.7970992482344901,0.4260657486153697
MedCPT,backward_family_held_out,13169,0.31103348773635053,0.44232667628521527,0.4866732477788746,0.5585845546358873,0.6033108056800061,0.6521375958690865,0.37434893875692343
Qwen3-Embedding-0.6B,backward_family_held_out,13169,0.3141468600501177,0.4695117320981092,0.5254764978358266,0.5967803174121041,0.6544916090819348,0.7104563748196522,0.3884950748520362
SapBERT,backward_family_held_out,13169,0.29865593439137367,0.43982079125218315,0.4963930442706356,0.5664818892854431,0.6124990508011239,0.6600349305186423,0.3664338457286165
