metric,ci95,delta_dense_minus_bm25,n,replicates,seed
Hit@10,"[0.14322820037105752, 0.17551020408163265]",0.15918367346938775,2695,10000,20260906
Hit@100,"[0.10018552875695733, 0.12578849721706864]",0.11280148423005566,2695,10000,20260906
MRR,"[0.17549817101372148, 0.20419196665281594]",0.19007036689557355,2695,10000,20260906
