model,Hit@10,MRR,Hit@100,CompleteScenarioRetrieval@100,selected
SapBERT,0.8308605341246291,0.6815500034267062,0.9339762611275965,0.208955223880597,False
BioLORD-2023,0.8731454005934718,0.7206024778289042,0.9629080118694362,0.3880597014925373,True
MedCPT,0.7685459940652819,0.5863064067246733,0.9013353115727003,0.43283582089552236,False
Qwen3-Embedding-0.6B,0.8256676557863502,0.6328252586520503,0.9421364985163204,0.6268656716417911,False
