Model,n,Hit@1,Hit@5,Hit@10,Hit@25,Hit@50,Hit@100,MRR,Selected
BioLORD-2023,13346,0.3055597182676457,0.47609770717818073,0.5594185523752435,0.667316049752735,0.7461411658924022,0.8111044507717668,0.38874763987034816,True
MedCPT,13346,0.29521954143563617,0.4291922673460213,0.48988460962086017,0.5753783905289974,0.6237074778959988,0.6637194665068186,0.3599240554625487,False
Qwen3-Embedding-0.6B,13346,0.25947849542934215,0.4113592087516859,0.46733103551625954,0.5545481792297318,0.6241570508017383,0.6864228982466657,0.3327174611356002,False
SapBERT,13346,0.2573804885358909,0.38408511913682003,0.43293870822718417,0.4982766371946651,0.5439832159448524,0.5932114491233328,0.3184283699139867,False
