model,split,n,Hit@1,Hit@5,Hit@10,Hit@25,Hit@50,Hit@100,MRR
BioLORD-2023,forward_family_held_out,2750,0.6276363636363637,0.8152727272727273,0.8727272727272727,0.9192727272727272,0.9461818181818182,0.968,0.7112239474223585
MedCPT,forward_family_held_out,2750,0.49127272727272725,0.6905454545454546,0.7661818181818182,0.84,0.8825454545454545,0.9170909090909091,0.582284850058145
Qwen3-Embedding-0.6B,forward_family_held_out,2750,0.5465454545454546,0.7658181818181818,0.8312727272727273,0.8934545454545455,0.9276363636363636,0.9541818181818181,0.6446955420243201
SapBERT,forward_family_held_out,2750,0.6014545454545455,0.7898181818181819,0.8334545454545454,0.8763636363636363,0.9029090909090909,0.9272727272727272,0.6849093831191383
