group,margin_mean,max_similarity_mean,mean_top5_mean,model,n
NO_MAP,0.035656687091378605,0.8110741243642919,0.7580615273643942,zero_shot,85
ANSWERABLE,0.07849048984354254,0.8843778155248776,0.7860549555029693,zero_shot,2828
NO_MAP,0.02996355365304386,0.8556354992529925,0.8130600641755497,l1_seed42,85
ANSWERABLE,0.06493532126492793,0.9057357835423997,0.8257619543367263,l1_seed42,2828
NO_MAP,0.03998615110621733,0.807683277130127,0.7504836574722739,l2_seed17,85
ANSWERABLE,0.08118101113503522,0.8772825015210869,0.7769690270702944,l2_seed17,2828
