candidate_k,candidate_row_count,evaluator_version,file,generated_at_utc,retriever_checkpoint_hash,sha256,source_count,split,target_corpus_hash
100,1019700,2.0,forward_stratified_train_k100.jsonl.gz,2026-09-01T14:47:57Z,7a859ff478d801f98a17fc966cb0ae81ba60362725add2735d91c7e01f4fe1d8,f632854cd22ff9875390d9ff7280b4033b571c0c41ac54561730bf6f77536a35,10197,train,a394fe6a0055b13e2df4eaeb4ac4b739e7d8d54277adb02f9bdecff67ad80a3a
100,145700,2.0,forward_stratified_dev_k100.jsonl.gz,2026-09-01T14:48:00Z,7a859ff478d801f98a17fc966cb0ae81ba60362725add2735d91c7e01f4fe1d8,ea7d94aa7f8e2d73d9d07dfff6d21a1b8e9a4a3db7837dd5dfa9f76feb92eafa,1457,dev,a394fe6a0055b13e2df4eaeb4ac4b739e7d8d54277adb02f9bdecff67ad80a3a
100,291300,2.0,forward_stratified_test_k100.jsonl.gz,2026-09-01T14:48:06Z,7a859ff478d801f98a17fc966cb0ae81ba60362725add2735d91c7e01f4fe1d8,adcdcc2348165723c29f76687e5f487c2e5275dac5ff2389352ff4570d8f961b,2913,test,a394fe6a0055b13e2df4eaeb4ac4b739e7d8d54277adb02f9bdecff67ad80a3a
