Hit@1,Hit@10,Hit@100,Hit@25,Hit@5,Hit@50,MRR,group,model,n_answerable_noncombination,n_total
0.7268927078495123,0.9145378541569903,0.9818857408267534,0.9516953088713423,0.8778448676265675,0.9716674407803065,0.795606907905584,G=1,zero_shot,2153,2153
0.7436135624709708,0.9400836042731073,0.9916395726892708,0.9712029725963771,0.9019972131908964,0.9874593590339061,0.8141437278001297,G=1,l1_seed42,2153,2153
0.7306084533209475,0.9219693450998606,0.9888527635856944,0.9577333952624245,0.880631676730144,0.9772410589874594,0.7986605029002866,G=1,l2_seed17,2153,2153
0.6918367346938775,0.9469387755102041,0.9918367346938776,0.9775510204081632,0.8979591836734694,0.9836734693877551,0.7840499064521971,G=2-5,zero_shot,490,688
0.7285714285714285,0.963265306122449,0.9979591836734694,0.9836734693877551,0.9204081632653062,0.9897959183673469,0.8132298631191601,G=2-5,l1_seed42,490,688
0.6877551020408164,0.9571428571428572,0.9959183673469387,0.9816326530612245,0.9163265306122449,0.9877551020408163,0.7892153491329291,G=2-5,l2_seed17,490,688
0.6382978723404256,0.9574468085106383,1.0,1.0,0.9148936170212766,1.0,0.7564389697648377,G=6-20,zero_shot,47,67
0.6382978723404256,0.9574468085106383,1.0,1.0,0.9574468085106383,1.0,0.7645685579196217,G=6-20,l1_seed42,47,67
0.5957446808510638,0.9574468085106383,1.0,1.0,0.9148936170212766,1.0,0.7239277271192166,G=6-20,l2_seed17,47,67
0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,0.5370370370370371,G=21-100,zero_shot,3,3
0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,G=21-100,l1_seed42,3,3
0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,0.5476190476190476,G=21-100,l2_seed17,3,3
0.0,1.0,1.0,1.0,1.0,1.0,0.26666666666666666,G>100,zero_shot,2,2
0.0,1.0,1.0,1.0,1.0,1.0,0.5,G>100,l1_seed42,2,2
0.5,1.0,1.0,1.0,1.0,1.0,0.625,G>100,l2_seed17,2,2
