ci95_high,ci95_low,delta,l1,l2,metric,n,reps,seed
-0.009647495361781076,-0.027458256029684602,-0.01855287569573284,0.738404452690167,0.7198515769944341,Hit@1,2695,5000,2026
-0.01261595547309833,-0.025602968460111317,-0.018923933209647494,0.9064935064935065,0.887569573283859,Hit@5,2695,5000,2026
-0.00927643784786642,-0.02189239332096475,-0.015584415584415584,0.9447124304267162,0.9291280148423006,Hit@10,2695,5000,2026
-0.006307977736549165,-0.0163265306122449,-0.011131725417439703,0.974025974025974,0.9628942486085343,Hit@25,2695,5000,2026
-0.004823747680890538,-0.01261595547309833,-0.008534322820037106,0.9881261595547309,0.9795918367346939,Hit@50,2695,5000,2026
-0.0007421150278293135,-0.004823747680890538,-0.0025974025974025974,0.9929499072356215,0.9903525046382189,Hit@100,2695,5000,2026
-0.011766985714152094,-0.0223150921558139,-0.017129408981070824,0.7880463313324783,0.7709169223514073,MRR,2780,5000,2026
