group,max,mean,median,min,n,p1,p5,p95,p99,q1,q3,sd
1,0.9963095188140869,0.9627024247568255,0.9664976596832275,0.8616187572479248,11207,0.915473997592926,0.9290853261947631,0.9863101005554199,0.9904674720764161,0.950355738401413,0.976632684469223,0.018012383372938773
2-5,0.9913473129272461,0.9615142346498569,0.9639293551445007,0.7684276700019836,1671,0.9152861058712005,0.9320239722728729,0.9828352332115173,0.9873167753219605,0.953203022480011,0.9729005992412567,0.016183359435199197
6+,0.9909026622772217,0.9522497096999747,0.9491406679153442,0.8967384099960327,183,0.9065115904808044,0.9155933916568756,0.9839473724365234,0.9906408035755158,0.9365891218185425,0.9720972776412964,0.021764302280851543
