population,metric,n,delta_l2_minus_zero_shot,ci95_low,ci95_high,bootstrap_seed,bootstrap_reps
backward_stratified,Hit@10,13346,0.029222238873070582,0.025249138318597333,0.03334332384234977,2026,5000
backward_stratified,Hit@100,13346,0.016184624606623708,0.01363704480743294,0.018807133223437734,2026,5000
backward_stratified,MRR,13492,0.012913392730371518,0.010812870430811423,0.015070664986341888,2026,5000
