ci95_high,ci95_low,delta,metric,population_n,repetitions,seed
-0.4096474953617811,-0.44935064935064933,-0.4296846011131726,Hit@1,2695,10000,20260915
-0.42760995214073727,-0.46326632781443483,-0.44518796688388745,MRR,2695,10000,20260915
-0.43630562397870476,-0.4714677321147003,-0.4536791428281706,NDCG@10,2695,10000,20260915
-0.1282051282051282,-0.3333333333333333,-0.23076923076923078,CSR@10,78,10000,20260915
-0.10363247863247861,-0.2829059829059829,-0.18995726495726484,Choice@10,78,10000,20260915
