feature,standardized_mean_difference,test_mean,test_median,test_p5,test_p95,test_sd,train_mean,train_median,train_p5,train_p95,train_sd
candidate_same_parent_fraction,-0.03818928523853753,0.027688774459320286,0.02,0.01,0.07,0.019027032307647403,0.02842374241110148,0.02,0.01,0.07,0.019461311500458107
candidate_same_family_fraction,0.1024365454441768,0.2164687263989015,0.1,0.01,0.84,0.25508750354833293,0.19164052471812662,0.09,0.01,0.73,0.22896071597377057
candidate_shared_ancestor_fraction,0.06167018716909135,0.6223465842773772,0.69,0.05,1.0,0.33197745369104154,0.6019877710320902,0.65,0.05,1.0,0.3282602240581005
candidate_same_root_fraction,0.06167018716909135,0.6223465842773772,0.69,0.05,1.0,0.33197745369104154,0.6019877710320902,0.65,0.05,1.0,0.3282602240581005
