ontology,code,parent_code,depth,root_code,chapter,block,family,provenance,audit_status,official_order_present
ICD-9-CM,0078,007,3,0,0,00,007,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,0079,007,3,0,0,00,007,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00800,0080,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00801,0080,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00802,0080,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00803,0080,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00804,0080,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00809,0080,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,0081,008,3,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,0082,008,3,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,0083,008,3,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00841,0084,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00842,0084,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00843,0084,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00844,0084,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00845,0084,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00846,0084,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00847,0084,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00849,0084,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,0085,008,3,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00861,0086,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00862,0086,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00863,0086,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00864,0086,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00865,0086,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00866,0086,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00867,0086,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,00869,0086,4,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,0088,008,3,0,0,00,008,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,0090,009,3,0,0,00,009,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,0091,009,3,0,0,00,009,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,0092,009,3,0,0,00,009,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,0093,009,3,0,0,00,009,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01000,0100,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01001,0100,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01002,0100,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01003,0100,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01004,0100,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01005,0100,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01006,0100,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01010,0101,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01011,0101,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01012,0101,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01013,0101,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01014,0101,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01015,0101,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01016,0101,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01080,0108,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01081,0108,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01082,0108,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01083,0108,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01084,0108,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01085,0108,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01086,0108,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01090,0109,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01091,0109,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01092,0109,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01093,0109,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01094,0109,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01095,0109,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01096,0109,4,0,0,01,010,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01100,0110,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01101,0110,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01102,0110,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01103,0110,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
ICD-9-CM,01104,0110,4,0,0,01,011,CMS_V32_DIAGNOSIS_TITLES_PREFIX_STRUCTURE,PASS,true
