ci95_high,ci95_low,delta,metric,population_n,repetitions,seed
-0.1117794486215539,-0.19398809523809524,-0.15275689223057645,Choice@10,133,10000,20260915
-0.07518796992481203,-0.19548872180451127,-0.13533834586466165,CSR@10,133,10000,20260915
