feature,candidate_same_parent_fraction,candidate_same_family_fraction,candidate_shared_ancestor_fraction,candidate_same_root_fraction
candidate_same_parent_fraction,1.0,0.18341983205051474,0.13257398189093916,0.13257398189093916
candidate_same_family_fraction,0.18341983205051474,0.9999999999999999,0.4864772128473775,0.4864772128473775
candidate_shared_ancestor_fraction,0.13257398189093916,0.4864772128473775,0.9999999999999998,0.9999999999999998
candidate_same_root_fraction,0.13257398189093916,0.4864772128473775,0.9999999999999998,0.9999999999999998
