distribution,source_count,source_sha256,split
"{""ALTERNATIVE"": {""0"": 17, ""1"": 56, ""2+"": 1540}, ""COMBINATION"": {""0"": 1, ""1"": 88, ""2+"": 101}, ""COMBINATION_WITH_ALTERNATIVES"": {""0"": 1, ""1"": 36, ""2+"": 170}, ""NO_MAP"": {""0"": 251}, ""SINGLE_APPROXIMATE"": {""0"": 159, ""1"": 4151}, ""SINGLE_EXACT"": {""0"": 2, ""1"": 2093}}",8666,150a57de2e9101ee9bb5c1699bbb7b3a7f9b1fc1d0863018a8766808c151f24c,FUSION_TRAIN
"{""ALTERNATIVE"": {""0"": 3, ""1"": 10, ""2+"": 272}, ""COMBINATION"": {""0"": 1, ""1"": 16, ""2+"": 18}, ""COMBINATION_WITH_ALTERNATIVES"": {""1"": 6, ""2+"": 30}, ""NO_MAP"": {""0"": 44}, ""SINGLE_APPROXIMATE"": {""0"": 28, ""1"": 733}, ""SINGLE_EXACT"": {""0"": 1, ""1"": 369}}",1531,225df0f8343bc5358e1980688018916df4c75675595a77f37ca65ceea17bbcb9,FUSION_VAL
