group,variable,status,n,mean,median,p5,p95
improved,margin_1_2,MEASURED,14,0.47909548336941565,0.32073322657631365,0.043535158702541675,1.5092159914400058
improved,baseline_rank,MEASURED,14,37.5,29.5,4.95,91.7
improved,delta_mrr,MEASURED,14,0.016252172184168776,0.001199010069977812,0.00012027204523698144,0.07999999999999997
worsened,margin_1_2,MEASURED,25,0.6414253318495117,0.403990555853591,0.07873895690515163,2.0915190637681387
worsened,baseline_rank,MEASURED,25,40.4,38.0,3.8000000000000007,89.59999999999998
worsened,delta_mrr,MEASURED,25,-0.012959297364747904,-0.0009469696969696961,-0.07023809523809521,-0.00014073099119165725
unchanged,margin_1_2,MEASURED,1309,0.986248740546925,0.5652948441621581,0.045324730229533476,3.563366647615044
unchanged,baseline_rank,MEASURED,1309,5.130634071810542,1.0,1.0,19.0
unchanged,delta_mrr,MEASURED,1309,0.0,0.0,0.0,0.0
