lambda,mean_Hit@1,mean_MRR,mean_NDCG@10,mean_top1_change_fraction
0.05,0.6903248587570622,0.7673622511485437,0.7694366199642727,0.00032658393207054214
0.1,0.6903248587570622,0.7674516407977685,0.7694488283805943,0.00032658393207054214
0.2,0.690677966101695,0.7676610337042646,0.7695004045684619,0.0016329196603527107
