blob_sha,bytes,MiB,representative_path,all_reachable_paths,commits_touching_path,present_in_HEAD,scientific_role,regeneration_status,sha256
782b0b7019cda4af4b56ab28a37d36e04ece94b2,52399356,49.971920013427734,artifacts/experiments/dense_full_universe_v2/remote_test_sync/results/test_results/sapbert/backward_family_held_out_rows.jsonl,artifacts/experiments/dense_full_universe_v2/remote_test_sync/results/test_results/sapbert/backward_family_held_out_rows.jsonl,e2e79b8091924e967139981604fb04e7bcdb66ab,YES,GENERATED_SCORED_ARTIFACT,REGENERABLE,a6c7558d89a4f27ecc86db702883b5e017e88b057f96c513920d5df326d585d6
bc0592f088413e049cd43cf890f601dfa1bec72b,52129824,49.714874267578125,artifacts/experiments/dense_full_universe_v2/remote_test_sync/results/test_results/biolord_2023/backward_stratified_test_rows.jsonl,artifacts/experiments/dense_full_universe_v2/remote_test_sync/results/test_results/biolord_2023/backward_stratified_test_rows.jsonl,e2e79b8091924e967139981604fb04e7bcdb66ab,YES,GENERATED_SCORED_ARTIFACT,REGENERABLE,2fc2b6027b7cf5c5a3ec608db2c5db6938804b893d9075dddf65aaab3b3a6d1b
86854148af90f254e71fff744199d90d24a618d9,52072534,49.66023826599121,artifacts/experiments/dense_full_universe_v2/remote_test_sync/results/test_results/biolord_2023/backward_family_held_out_rows.jsonl,artifacts/experiments/dense_full_universe_v2/remote_test_sync/results/test_results/biolord_2023/backward_family_held_out_rows.jsonl,e2e79b8091924e967139981604fb04e7bcdb66ab,YES,GENERATED_SCORED_ARTIFACT,REGENERABLE,9709c7e1c213dae26a8c374a76cd56782b99d245e6eafde09af3ab4b6a724644
1b02dbee62797e896b8567bf1f6ffb3a84fc599c,51875170,49.47201728820801,artifacts/experiments/dense_full_universe_v2/remote_test_sync/results/test_results/qwen3_embedding_0.6b/backward_stratified_test_rows.jsonl,artifacts/experiments/dense_full_universe_v2/remote_test_sync/results/test_results/qwen3_embedding_0.6b/backward_stratified_test_rows.jsonl,e2e79b8091924e967139981604fb04e7bcdb66ab,YES,GENERATED_SCORED_ARTIFACT,REGENERABLE,6564ca17d3bda29da6e963d3e74f82e18750d83c2f20231cd5a3c95ce07261d9
b080547551d29c8123a0651def2c6198243ba34b,51869031,49.46616268157959,artifacts/experiments/dense_full_universe_v2/remote_test_sync/results/test_results/medcpt/backward_stratified_test_rows.jsonl,artifacts/experiments/dense_full_universe_v2/remote_test_sync/results/test_results/medcpt/backward_stratified_test_rows.jsonl,e2e79b8091924e967139981604fb04e7bcdb66ab,YES,GENERATED_SCORED_ARTIFACT,REGENERABLE,603c1990cf987b8c1318e6f2a2e294aae821cddf80fccc60f877c89b047a9114
ec88ad6d22ae14aca38f484108c90cdc2f54d799,51814287,49.413954734802246,artifacts/experiments/dense_full_universe_v2/remote_test_sync/results/test_results/qwen3_embedding_0.6b/backward_family_held_out_rows.jsonl,artifacts/experiments/dense_full_universe_v2/remote_test_sync/results/test_results/qwen3_embedding_0.6b/backward_family_held_out_rows.jsonl,e2e79b8091924e967139981604fb04e7bcdb66ab,YES,GENERATED_SCORED_ARTIFACT,REGENERABLE,53fc812de3a3977b4d93890ba8f0b2c8379479f956ad81ed46e60ede998d1244
eec2f0d2af7212a037a9f21dd5ecc6be4bad5018,51809213,49.4091157913208,artifacts/experiments/dense_full_universe_v2/remote_test_sync/results/test_results/medcpt/backward_family_held_out_rows.jsonl,artifacts/experiments/dense_full_universe_v2/remote_test_sync/results/test_results/medcpt/backward_family_held_out_rows.jsonl,e2e79b8091924e967139981604fb04e7bcdb66ab,YES,GENERATED_SCORED_ARTIFACT,REGENERABLE,214f25324a7223c6f7baff806a70f39aa4ca88f3afd5dc9d40683ed20986b17e
75fb70e0332b54d859871985c304364a9bdfe9f7,40989666,39.09079170227051,artifacts/experiments/shift_map_v1_4/ledgers/l2_seed17_backward_dev.json,artifacts/experiments/shift_map_v1_4/ledgers/l2_seed17_backward_dev.json,e6aaea5ca7a65c748c4794bffafdd165448db9a6,YES,GENERATED_CANDIDATE_LEDGER,REGENERABLE,3f6b07f662cd9ad5b1550a9ed0e4415d76071d3217e51d2e723601db5d9e24cb
99080ae8da5204ea49bba515e90babea829d972d,40977573,39.07925891876221,artifacts/experiments/shift_map_v1_4/ledgers/zero_shot_backward_dev.json,artifacts/experiments/shift_map_v1_4/ledgers/zero_shot_backward_dev.json,e6aaea5ca7a65c748c4794bffafdd165448db9a6,YES,GENERATED_CANDIDATE_LEDGER,REGENERABLE,99a9f5f8753c730cc94b27418026741ec54c91a94d41bf46501e66f6a733f806
1bf955b5845605bedb65c48219465aa7a0f2358e,40828572,38.93716049194336,artifacts/experiments/shift_map_v1_4/ledgers/l1_seed42_backward_dev.json,artifacts/experiments/shift_map_v1_4/ledgers/l1_seed42_backward_dev.json,e6aaea5ca7a65c748c4794bffafdd165448db9a6,YES,GENERATED_CANDIDATE_LEDGER,REGENERABLE,7fb7a2fdc220b7b033a28b0450d41be98fa3ea7aee6871e73a70282fb28bf5c5
ab7e48cbf0f1cfa7b35d9e6f0b87d52237952410,35207705,33.57668399810791,artifacts/experiments/bm25_full_universe/rankings/forward_stratified_test.jsonl,artifacts/experiments/bm25_full_universe/rankings/forward_stratified_test.jsonl,9e79297e8487595bc3f6aae91932505b38c1961f,YES,GENERATED_RANKING_RESULT,REGENERABLE,01f838fee7fa57e6124884ed2f7c020f382948bfcbf2fe7a267168a060197cfe
79a5b96e089a95a174f981727c3e85ae5c15c9d2,35147358,33.51913261413574,artifacts/experiments/bm25_full_universe/rankings/forward_family_held_out_test.jsonl,artifacts/experiments/bm25_full_universe/rankings/forward_family_held_out_test.jsonl,9e79297e8487595bc3f6aae91932505b38c1961f,YES,GENERATED_RANKING_RESULT,REGENERABLE,1c030f824437c05c77cac9eaeca67a20ead88cece205341754e3b949e2fafb27
