direction,protocol,partition,experiment_version,seed,n,Hit@1,Hit@5,Hit@10,Hit@25,Hit@50,Hit@100,MRR,ChoiceListRecall@10,ChoiceListRecall@100,CompleteScenarioRetrieval@10,CompleteScenarioRetrieval@100
ICD9CM_TO_ICD10CM,shift_map_v1,test,1.0,17,2695,0.01855287569573284,0.7380333951762523,0.8445269016697589,0.9294990723562152,0.9666048237476809,0.9836734693877551,0.35277235823527225,0.8445269016697589,0.9836734693877551,0.8445269016697589,0.9836734693877551
ICD9CM_TO_ICD10CM,shift_map_v1,test,1.0,42,2695,0.019666048237476808,0.7358070500927644,0.8471243042671615,0.9324675324675324,0.9669758812615955,0.9836734693877551,0.35366272736461846,0.8471243042671615,0.9836734693877551,0.8471243042671615,0.9836734693877551
ICD9CM_TO_ICD10CM,shift_map_v1,test,1.0,2026,2695,0.01818181818181818,0.7402597402597403,0.8545454545454545,0.9343228200371058,0.9692022263450835,0.9840445269016698,0.3563559584983599,0.8545454545454545,0.9840445269016698,0.8545454545454545,0.9840445269016698
