direction,lexical_difficulty,n,Hit@1,Hit@5,Hit@10,Hit@25,Hit@50,Hit@100,MRR,ChoiceListRecall@10,ChoiceListRecall@100,CompleteScenarioRetrieval@10,CompleteScenarioRetrieval@100,protocol,experiment_version,partition
ICD10CM_TO_ICD9CM,LEXICAL_EXACT,472,0.9978813559322034,1.0,1.0,1.0,1.0,1.0,0.9989406779661016,1.0,1.0,1.0,1.0,shift_map_v1,1.0,test
ICD10CM_TO_ICD9CM,LEXICAL_HIGH,880,0.9463276836158192,0.9947538337368845,0.9987893462469734,1.0,1.0,1.0,0.967380343851288,0.9933712121212122,1.0,0.9878787878787879,1.0,shift_map_v1,1.0,test
ICD10CM_TO_ICD9CM,LEXICAL_LOW,9949,0.1830785131330411,0.4072490110125094,0.5081791938415482,0.6482055668412987,0.7414020456894401,0.799101892440928,0.2893059219841833,0.5130713953778322,0.8074739025468394,0.5036213404059982,0.8066238226393281,shift_map_v1,1.0,test
ICD10CM_TO_ICD9CM,LEXICAL_MEDIUM,3040,0.6816326530612244,0.8871985157699444,0.9356833642547928,0.9735312306740879,0.9933209647495361,0.9988868274582561,0.7730950617950927,0.9263523391812865,0.9985197368421053,0.9108552631578948,0.9980263157894737,shift_map_v1,1.0,test
ICD9CM_TO_ICD10CM,LEXICAL_EXACT,469,0.06467661691542288,0.997867803837953,0.997867803837953,0.997867803837953,0.997867803837953,0.997867803837953,0.531272210376688,0.997867803837953,0.997867803837953,0.997867803837953,0.997867803837953,shift_map_v1,1.0,test
ICD9CM_TO_ICD10CM,LEXICAL_HIGH,527,0.007633587786259542,0.9389312977099237,0.9872773536895675,0.9942748091603053,0.9942748091603053,0.9942748091603053,0.44469226872019746,0.9845034788108792,0.9933586337760911,0.9816571790006325,0.9924098671726755,shift_map_v1,1.0,test
ICD9CM_TO_ICD10CM,LEXICAL_LOW,1019,0.010582010582010581,0.4459561602418745,0.645124716553288,0.8204837490551776,0.9119425547996977,0.9580498866213152,0.21302572859913244,0.6304246966452534,0.9492505353319058,0.6117059243397573,0.9400428265524625,shift_map_v1,1.0,test
ICD9CM_TO_ICD10CM,LEXICAL_MEDIUM,898,0.00853658536585366,0.7752032520325203,0.8939024390243903,0.9747967479674797,0.9930894308943089,0.9967479674796748,0.3471542843672075,0.8576466221232368,0.9871937639198218,0.8318485523385301,0.9773570898292502,shift_map_v1,1.0,test
