direction,mapping_kind,n,Hit@1,Hit@5,Hit@10,Hit@25,Hit@50,Hit@100,MRR,ChoiceListRecall@10,ChoiceListRecall@100,CompleteScenarioRetrieval@10,CompleteScenarioRetrieval@100,protocol,experiment_version,partition
ICD10CM_TO_ICD9CM,COMBINATION,811,,,,,,,,0.7232840115084258,0.9878750513769009,0.5499383477188656,0.9757501027538019,shift_map_v1,1.0,test
ICD10CM_TO_ICD9CM,COMBINATION_WITH_ALTERNATIVES,38,,,,,,,,0.8859649122807017,1.0,0.7807017543859649,1.0,shift_map_v1,1.0,test
ICD9CM_TO_ICD10CM,COMBINATION,64,,,,,,,,0.48046875,0.8515625,0.171875,0.71875,shift_map_v1,1.0,test
ICD9CM_TO_ICD10CM,COMBINATION_WITH_ALTERNATIVES,69,,,,,,,,0.40193236714975844,0.8516908212560387,0.07729468599033816,0.714975845410628,shift_map_v1,1.0,test
