direction,source_family_split,n,protocol,experiment_version,partition,Hit@1,Hit@5,Hit@10,Hit@25,Hit@50,Hit@100,MRR,ChoiceListRecall@10,ChoiceListRecall@100,CompleteScenarioRetrieval@10,CompleteScenarioRetrieval@100
ICD10CM_TO_ICD9CM,dev,4164,shift_map_v1,1.0,test,0.4127983215316024,0.6008392341987936,0.6768948334644637,0.7516391292945187,0.8106477838971938,0.8505114083398898,0.5010985880780607,0.6832525252525252,0.8612121212121212,0.673939393939394,0.8606060606060606
ICD10CM_TO_ICD9CM,test,8976,shift_map_v1,1.0,test,0.3981312947457833,0.6159446669093557,0.6831695182623468,0.7456619342312826,0.7988108239291348,0.8299963596650892,0.4958461848665524,0.6866892272983643,0.8416807670614778,0.6721940214326001,0.8413987591652566
ICD10CM_TO_ICD9CM,train,29883,shift_map_v1,1.0,test,0.3413021726700972,0.5400943396226415,0.6255002858776444,0.7483562035448827,0.8238279016580904,0.8686749571183533,0.43534947133376617,0.6308441741285128,0.8749957763135665,0.6218280114884271,0.8741679337725967
ICD9CM_TO_ICD10CM,dev,807,shift_map_v1,1.0,test,0.01928374655647383,0.7713498622589532,0.8732782369146006,0.9269972451790633,0.9669421487603306,0.9917355371900827,0.3699366499243577,0.8262548262548263,0.9774774774774775,0.8159588159588159,0.963963963963964
ICD9CM_TO_ICD10CM,test,1719,shift_map_v1,1.0,test,0.018214936247723135,0.7340619307832422,0.8573163327261688,0.9265330904675168,0.9647844565877353,0.9805707346690953,0.3553321666539901,0.8429319371727748,0.9714950552646888,0.8260616637579988,0.9616055846422339
ICD9CM_TO_ICD10CM,train,6213,shift_map_v1,1.0,test,0.018907563025210083,0.7349439775910365,0.8431372549019608,0.9343487394957983,0.9684873949579832,0.9837184873949579,0.3519635464846953,0.8260604542418171,0.9793420173680695,0.811122244488978,0.9749498997995992
