direction,alternative_size,n,Hit@1,Hit@5,Hit@10,Hit@25,Hit@50,Hit@100,MRR,ChoiceListRecall@10,ChoiceListRecall@100,CompleteScenarioRetrieval@10,CompleteScenarioRetrieval@100,protocol,experiment_version,partition
ICD10CM_TO_ICD9CM,1,12622,0.3464057465800454,0.5431785770876247,0.6258120741562352,0.7356731632599165,0.8076638673216078,0.8511857603126816,0.4386013028488745,0.6258120741562352,0.8511857603126816,0.6258120741562352,0.8511857603126816,shift_map_v1,1.0,test
ICD10CM_TO_ICD9CM,2-5,1707,0.5933706816059757,0.8809523809523809,0.9295051353874884,0.9645191409897292,0.9873949579831933,0.9948646125116714,0.7238667038471129,0.8215353405936365,0.9913516976297245,0.7290198590647021,0.9850523168908819,shift_map_v1,1.0,test
ICD10CM_TO_ICD9CM,6-20,12,0.6,0.8666666666666667,0.9,1.0,1.0,1.0,0.7059172771672771,0.875,1.0,0.8611111111111112,1.0,shift_map_v1,1.0,test
ICD9CM_TO_ICD10CM,1,2153,0.02275894101254064,0.7578572534448057,0.8595757857253444,0.9351292769778603,0.9684161634928008,0.9831243226505652,0.367261295838125,0.8595757857253444,0.9831243226505652,0.8595757857253444,0.9831243226505652,shift_map_v1,1.0,test
ICD9CM_TO_ICD10CM,2-5,688,0.003401360544217687,0.673469387755102,0.8027210884353742,0.9170068027210885,0.9612244897959183,0.9850340136054422,0.3077392636161697,0.7368711995577667,0.9585406301824212,0.6766169154228856,0.9314538419016031,shift_map_v1,1.0,test
ICD9CM_TO_ICD10CM,21-100,3,0.0,0.5555555555555556,1.0,1.0,1.0,1.0,0.22777777777777775,1.0,1.0,1.0,1.0,shift_map_v1,1.0,test
ICD9CM_TO_ICD10CM,6-20,67,0.0,0.5390070921985816,0.8297872340425532,0.9432624113475178,0.9929078014184397,1.0,0.2610857767320866,0.6937810945273631,0.9691542288557214,0.6069651741293532,0.945273631840796,shift_map_v1,1.0,test
ICD9CM_TO_ICD10CM,>100,2,0.0,0.16666666666666666,0.6666666666666666,1.0,1.0,1.0,0.14022366522366522,0.6666666666666666,1.0,0.6666666666666666,1.0,shift_map_v1,1.0,test
