direction,mapping_kind,n,protocol,experiment_version,partition,Hit@1,Hit@5,Hit@10,Hit@25,Hit@50,Hit@100,MRR,ChoiceListRecall@10,ChoiceListRecall@100,CompleteScenarioRetrieval@10,CompleteScenarioRetrieval@100
ICD10CM_TO_ICD9CM,ALTERNATIVE,2172,shift_map_v1,1.0,test,0.5934622467771639,0.8807550644567219,0.929097605893186,0.9650092081031307,0.9875690607734806,0.9949355432780848,0.7236187835891043,0.929097605893186,0.9949355432780848,0.929097605893186,0.9949355432780848
ICD10CM_TO_ICD9CM,COMBINATION,2433,shift_map_v1,1.0,test,,,,,,,,0.7232840115084258,0.9878750513769009,0.5499383477188656,0.9757501027538019
ICD10CM_TO_ICD9CM,COMBINATION_WITH_ALTERNATIVES,114,shift_map_v1,1.0,test,,,,,,,,0.8859649122807017,1.0,0.7807017543859649,1.0
ICD10CM_TO_ICD9CM,NO_MAP,438,shift_map_v1,1.0,test,,,,,,,,,,,
ICD10CM_TO_ICD9CM,SINGLE_APPROXIMATE,35757,shift_map_v1,1.0,test,0.3111558575943172,0.5168778141342953,0.6040775232821546,0.7202505803059541,0.7964874010683223,0.8425762787705904,0.40757647903762084,0.6040775232821546,0.8425762787705904,0.6040775232821546,0.8425762787705904
ICD10CM_TO_ICD9CM,SINGLE_EXACT,2109,shift_map_v1,1.0,test,0.944049312470365,0.9890943575154102,0.9943100995732574,0.9971550497866287,0.9971550497866287,0.9971550497866287,0.9646110823742403,0.9943100995732574,0.9971550497866287,0.9943100995732574,0.9971550497866287
ICD9CM_TO_ICD10CM,ALTERNATIVE,1626,shift_map_v1,1.0,test,0.003075030750307503,0.6592865928659286,0.8056580565805658,0.9200492004920049,0.964329643296433,0.986469864698647,0.302632936055557,0.8056580565805658,0.986469864698647,0.8056580565805658,0.986469864698647
ICD9CM_TO_ICD10CM,COMBINATION,192,shift_map_v1,1.0,test,,,,,,,,0.48046875,0.8515625,0.171875,0.71875
ICD9CM_TO_ICD10CM,COMBINATION_WITH_ALTERNATIVES,207,shift_map_v1,1.0,test,,,,,,,,0.40193236714975844,0.8516908212560387,0.07729468599033816,0.714975845410628
ICD9CM_TO_ICD10CM,NO_MAP,255,shift_map_v1,1.0,test,,,,,,,,,,,
ICD9CM_TO_ICD10CM,SINGLE_APPROXIMATE,4347,shift_map_v1,1.0,test,0.015412928456406717,0.6618357487922706,0.8010121923165402,0.9105129974695192,0.9572118702553485,0.9783758914193696,0.3093578993893823,0.8010121923165402,0.9783758914193696,0.8010121923165402,0.9783758914193696
ICD9CM_TO_ICD10CM,SINGLE_EXACT,2112,shift_map_v1,1.0,test,0.03787878787878788,0.9554924242424242,0.9801136363636364,0.9857954545454546,0.9914772727272727,0.9928977272727273,0.48644030358560825,0.9801136363636364,0.9928977272727273,0.9801136363636364,0.9928977272727273
