model,direction,split_protocol,partition,benchmark_version,experiment_version,sample_population,slice,n_total,n_answerable,n_noncombination_answerable,n_combination,applicable_hit_k_n,applicable_mrr_n,applicable_choice_scenario_n,Hit@1,Hit@5,Hit@10,Hit@25,Hit@50,Hit@100,MRR,ChoiceListRecall@1,ChoiceListRecall@5,ChoiceListRecall@10,ChoiceListRecall@25,ChoiceListRecall@50,ChoiceListRecall@100,CompleteScenarioRetrieval@1,CompleteScenarioRetrieval@5,CompleteScenarioRetrieval@10,CompleteScenarioRetrieval@25,CompleteScenarioRetrieval@50,CompleteScenarioRetrieval@100
BM25,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,family_held_out_test,1.0,1.1,forward_family_held_out_test,overall,2908,2908,2750,158,2750,2750,158,0.5683636363636364,0.7210909090909091,0.7810909090909091,0.8436363636363636,0.8709090909090909,0.8938181818181818,0.6398366759852352,0.16772151898734178,0.3639240506329114,0.4462025316455696,0.5759493670886076,0.6708860759493671,0.7816455696202531,0.0,0.0379746835443038,0.08227848101265822,0.24050632911392406,0.41139240506329117,0.5949367088607594
SapBERT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,family_held_out_test,1.0,1.1,forward_family_held_out_test,overall,2908,2908,2750,158,2750,2750,158,0.6941818181818182,0.8436363636363636,0.88,0.9181818181818182,0.9425454545454546,0.9614545454545455,0.7619091292014887,0.21518987341772153,0.4208860759493671,0.4873417721518987,0.5664556962025317,0.6234177215189873,0.7088607594936709,0.0,0.0189873417721519,0.06329113924050633,0.15822784810126583,0.25949367088607594,0.4177215189873418
BioLORD-2023,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,family_held_out_test,1.0,1.1,forward_family_held_out_test,overall,2908,2908,2750,158,2750,2750,158,0.7254545454545455,0.8981818181818182,0.9352727272727273,0.9665454545454546,0.9778181818181818,0.9850909090909091,0.7994619264852608,0.22784810126582278,0.4588607594936709,0.5664556962025317,0.7151898734177216,0.7848101265822784,0.8955696202531646,0.0,0.03164556962025317,0.13924050632911392,0.43037974683544306,0.569620253164557,0.7911392405063291
MedCPT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,family_held_out_test,1.0,1.1,forward_family_held_out_test,overall,2908,2908,2750,158,2750,2750,158,0.6105454545454545,0.8007272727272727,0.86,0.9109090909090909,0.9389090909090909,0.9585454545454546,0.6959419182886578,0.19936708860759494,0.40822784810126583,0.49683544303797467,0.6329113924050633,0.6993670886075949,0.8291139240506329,0.0,0.012658227848101266,0.10759493670886076,0.2911392405063291,0.4177215189873418,0.6708860759493671
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,family_held_out_test,1.0,1.1,forward_family_held_out_test,overall,2908,2908,2750,158,2750,2750,158,0.6785454545454546,0.8556363636363636,0.9032727272727272,0.9476363636363636,0.9669090909090909,0.9778181818181818,0.7571033966950604,0.31329113924050633,0.49050632911392406,0.560126582278481,0.7088607594936709,0.7911392405063291,0.8924050632911392,0.0,0.10126582278481013,0.189873417721519,0.4430379746835443,0.5886075949367089,0.7911392405063291
BM25 + BioLORD RRF,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,family_held_out_test,1.0,1.1,forward_family_held_out_test,overall,2908,2908,2750,158,2750,2750,158,0.6716363636363636,0.8407272727272728,0.8901818181818182,0.9436363636363636,0.9730909090909091,0.9836363636363636,0.7477883252326408,0.2689873417721519,0.4778481012658228,0.5886075949367089,0.7689873417721519,0.8227848101265823,0.8639240506329114,0.0,0.10126582278481013,0.2468354430379747,0.5379746835443038,0.6455696202531646,0.7278481012658228
