model,direction,split_protocol,partition,benchmark_version,experiment_version,sample_population,slice,n_total,n_answerable,n_noncombination_answerable,n_combination,applicable_hit_k_n,applicable_mrr_n,applicable_choice_scenario_n,Hit@1,Hit@5,Hit@10,Hit@25,Hit@50,Hit@100,MRR,ChoiceListRecall@1,ChoiceListRecall@5,ChoiceListRecall@10,ChoiceListRecall@25,ChoiceListRecall@50,ChoiceListRecall@100,CompleteScenarioRetrieval@1,CompleteScenarioRetrieval@5,CompleteScenarioRetrieval@10,CompleteScenarioRetrieval@25,CompleteScenarioRetrieval@50,CompleteScenarioRetrieval@100
MedCPT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,LEXICAL_MEDIUM,898,898,820,78,820,820,78,0.598780487804878,0.8597560975609756,0.9146341463414634,0.9536585365853658,0.9695121951219512,0.9853658536585366,0.7133684301934279,0.19284188034188032,0.4946581196581197,0.5876068376068376,0.6875,0.7772435897435898,0.907051282051282,0.0,0.11538461538461539,0.24358974358974358,0.4358974358974359,0.6025641025641025,0.8333333333333334
MedCPT,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,LEXICAL_LOW,1019,934,882,52,882,882,52,0.2585034013605442,0.4965986394557823,0.6077097505668935,0.7290249433106576,0.8095238095238095,0.86281179138322,0.37116069810141483,0.2,0.36730769230769234,0.45769230769230773,0.5394230769230769,0.6576923076923078,0.7884615384615384,0.0,0.019230769230769232,0.09615384615384616,0.23076923076923078,0.4230769230769231,0.6346153846153846
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,LEXICAL_EXACT,469,469,469,0,469,469,0,0.9530916844349681,0.997867803837953,0.997867803837953,1.0,1.0,1.0,0.9739678232215546,,,,,,,,,,,,
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,LEXICAL_HIGH,527,527,524,3,524,524,3,0.8416030534351145,0.9809160305343512,0.9923664122137404,0.9980916030534351,1.0,1.0,0.9039749007998737,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,LEXICAL_MEDIUM,898,898,820,78,820,820,78,0.7317073170731707,0.9231707317073171,0.9695121951219512,0.9902439024390244,0.9963414634146341,0.998780487804878,0.8176404070995812,0.23076923076923078,0.4230769230769231,0.6014957264957265,0.782051282051282,0.8627136752136751,0.9262820512820513,0.0,0.1282051282051282,0.3717948717948718,0.6282051282051282,0.7564102564102564,0.8717948717948718
Qwen3-Embedding-0.6B,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,LEXICAL_LOW,1019,934,882,52,882,882,52,0.3299319727891156,0.6292517006802721,0.7290249433106576,0.8276643990929705,0.8866213151927438,0.927437641723356,0.4610803676508251,0.2673076923076923,0.43846153846153846,0.5778846153846154,0.6884615384615385,0.7884615384615384,0.875,0.0,0.1346153846153846,0.28846153846153844,0.46153846153846156,0.5961538461538461,0.7692307692307693
BM25 + BioLORD RRF,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,LEXICAL_EXACT,469,469,469,0,469,469,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
BM25 + BioLORD RRF,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,LEXICAL_HIGH,527,527,524,3,524,524,3,0.9389312977099237,0.9961832061068703,1.0,1.0,1.0,1.0,0.9644583787713559,0.5,0.5,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
BM25 + BioLORD RRF,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,LEXICAL_MEDIUM,898,898,820,78,820,820,78,0.751219512195122,0.9512195121951219,0.9829268292682927,0.9926829268292683,0.998780487804878,1.0,0.8402842540847798,0.2168803418803419,0.5235042735042735,0.6217948717948718,0.7532051282051282,0.7799145299145299,0.8878205128205128,0.0,0.24358974358974358,0.3333333333333333,0.5128205128205128,0.5897435897435898,0.782051282051282
BM25 + BioLORD RRF,ICD9CM_to_ICD10CM,source_stratified_and_family_held_out,stratified_test,1.0,1.1,forward_stratified_test,LEXICAL_LOW,1019,934,882,52,882,882,52,0.2755102040816326,0.5498866213151927,0.6746031746031746,0.8321995464852607,0.9115646258503401,0.9433106575963719,0.40472579153968674,0.15192307692307694,0.4211538461538461,0.5307692307692308,0.6557692307692308,0.7807692307692308,0.8173076923076923,0.0,0.19230769230769232,0.28846153846153844,0.36538461538461536,0.5769230769230769,0.6346153846153846
