group,type,n,mean,median,p5,p95,sd
target,target,71704,0.9408877491950989,0.9445912837982178,0.8951988220214844,0.9696421027183533,0.022126061841845512
train_targets,target,13075,0.9516252279281616,0.9522209167480469,0.9253392815589905,0.9739669561386108,0.015286249108612537
nontrain_targets,target,58629,0.9384931325912476,0.9425163865089417,0.892701268196106,0.9679730534553528,0.02269775979220867
train,source,10197,0.9541847705841064,0.9560752511024475,0.92438805103302,0.9771022796630859,0.016162903979420662
dev,source,1457,0.9543350338935852,0.9564412832260132,0.9225661754608154,0.9778361916542053,0.01661837287247181
test,source,2913,0.954595685005188,0.9564648866653442,0.9257063269615173,0.9777682423591614,0.015986230224370956
