system,slice,n,Hit@1,Hit@10,Hit@100,MRR
zero_shot_biolord,LEXICAL_LOW,882,0.3276643990929705,0.6780045351473923,0.8877551020408163,0.44953990478081857
final_seed_17,LEXICAL_LOW,882,0.3979591836734694,0.7426303854875284,0.9342403628117913,0.5202343579152336
final_seed_42,LEXICAL_LOW,882,0.4013605442176871,0.7448979591836735,0.937641723356009,0.5242391388373943
final_seed_2026,LEXICAL_LOW,882,0.3956916099773243,0.7437641723356009,0.937641723356009,0.5213384798214092
