stage,run_id,epoch,Hit@100,CompleteScenarioRetrieval@100,Hit@10,MRR,Hit@1,selected_epoch
loss,dev_loss_L1,3,0.9740356083086054,0.43283582089552236,0.8813056379821959,0.7340214374348967,0.6491097922848664,True
loss,dev_loss_L2,3,0.9740356083086054,0.43283582089552236,0.8813056379821959,0.7339838170708667,0.6491097922848664,True
learning_rate,dev_lr_5e6,2,0.9777448071216617,0.4626865671641791,0.8946587537091988,0.7707268945455271,0.6965875370919882,True
learning_rate,dev_lr_1e5,2,0.9792284866468842,0.5223880597014925,0.905786350148368,0.7738648850418924,0.6988130563798219,True
learning_rate,dev_lr_2e5,2,0.9770029673590505,0.47761194029850745,0.9035608308605341,0.7742625651272894,0.6988130563798219,True
