comparison,population,n,bootstrap_repetitions,bootstrap_seed,metric,delta,ci95_low,ci95_high
seed17_minus_zero_shot_biolord,FORWARD_STRATIFIED_TEST_P_ORDINARY_ANSWERABLE,2695,10000,20260914,Hit@1,0.06643179962894248,0.054916512059369205,0.07792207792207792
seed17_minus_zero_shot_biolord,FORWARD_STRATIFIED_TEST_P_ORDINARY_ANSWERABLE,2695,10000,20260914,Hit@10,0.03302864564007421,0.025602968460111317,0.04081632653061224
seed17_minus_zero_shot_biolord,FORWARD_STRATIFIED_TEST_P_ORDINARY_ANSWERABLE,2695,10000,20260914,Hit@100,0.01743799628942486,0.01261595547309833,0.022634508348794064
seed17_minus_zero_shot_biolord,FORWARD_STRATIFIED_TEST_P_ORDINARY_ANSWERABLE,2695,10000,20260914,MRR,0.0566135029548932,0.049116447078443516,0.0641486945560913
