ChoiceListRecall@1,ChoiceListRecall@10,ChoiceListRecall@100,ChoiceListRecall@25,ChoiceListRecall@5,ChoiceListRecall@50,CompleteScenarioRetrieval@1,CompleteScenarioRetrieval@10,CompleteScenarioRetrieval@100,CompleteScenarioRetrieval@25,CompleteScenarioRetrieval@5,CompleteScenarioRetrieval@50,Hit@1,Hit@10,Hit@100,Hit@25,Hit@5,Hit@50,MRR,dataset,n,population,system
0.1527777777777778,0.4791666666666667,0.7361111111111112,0.5555555555555556,0.3888888888888889,0.6527777777777778,0.0,0.09722222222222222,0.4861111111111111,0.1388888888888889,0.013888888888888888,0.3194444444444444,0.3055555555555556,0.8611111111111112,0.9861111111111112,0.9722222222222222,0.7638888888888888,0.9861111111111112,0.49105423765661044,forward_family_held_out,72,P_COMBINATION,zero_shot_biolord
0.11046511627906977,0.3313953488372093,0.7267441860465116,0.5116279069767442,0.25,0.6395348837209303,0.0,0.0,0.45348837209302323,0.06976744186046512,0.0,0.29069767441860467,0.22093023255813954,0.6627906976744186,1.0,0.9534883720930233,0.5,0.9883720930232558,0.3496018930115766,forward_family_held_out,86,P_COMBINATION_WITH_ALTERNATIVES,zero_shot_biolord
,,,,,,,,,,,,,,,,,,,forward_family_held_out,0,P_COMPLEX,zero_shot_biolord
0.24305555555555555,0.5208333333333334,0.7916666666666666,0.6458333333333334,0.4236111111111111,0.7222222222222222,0.0,0.125,0.5833333333333334,0.2916666666666667,0.041666666666666664,0.4444444444444444,0.4861111111111111,0.9166666666666666,1.0,1.0,0.8055555555555556,1.0,0.6345000678334014,forward_family_held_out,72,P_COMBINATION,final_seed_17
0.1686046511627907,0.5755813953488372,0.7558139534883721,0.686046511627907,0.436046511627907,0.7441860465116279,0.0,0.18604651162790697,0.5116279069767442,0.37209302325581395,0.023255813953488372,0.4883720930232558,0.3372093023255814,0.9651162790697675,1.0,1.0,0.8488372093023255,1.0,0.5485093072302377,forward_family_held_out,86,P_COMBINATION_WITH_ALTERNATIVES,final_seed_17
,,,,,,,,,,,,,,,,,,,forward_family_held_out,0,P_COMPLEX,final_seed_17
0.24305555555555555,0.5416666666666666,0.7986111111111112,0.6458333333333334,0.4097222222222222,0.7222222222222222,0.0,0.1527777777777778,0.5972222222222222,0.2916666666666667,0.041666666666666664,0.4444444444444444,0.4861111111111111,0.9305555555555556,1.0,1.0,0.7777777777777778,1.0,0.6358847942181277,forward_family_held_out,72,P_COMBINATION,final_seed_42
0.1744186046511628,0.6337209302325582,0.7674418604651163,0.7209302325581395,0.46511627906976744,0.75,0.0,0.27906976744186046,0.5348837209302325,0.4418604651162791,0.03488372093023256,0.5,0.3488372093023256,0.9883720930232558,1.0,1.0,0.8953488372093024,1.0,0.573616144837075,forward_family_held_out,86,P_COMBINATION_WITH_ALTERNATIVES,final_seed_42
,,,,,,,,,,,,,,,,,,,forward_family_held_out,0,P_COMPLEX,final_seed_42
0.2361111111111111,0.5347222222222222,0.8055555555555556,0.6527777777777778,0.4166666666666667,0.7291666666666666,0.0,0.1527777777777778,0.6111111111111112,0.3055555555555556,0.041666666666666664,0.4583333333333333,0.4722222222222222,0.9166666666666666,1.0,1.0,0.7916666666666666,1.0,0.6301178952220621,forward_family_held_out,72,P_COMBINATION,final_seed_2026
0.1744186046511628,0.6162790697674418,0.7674418604651163,0.7151162790697675,0.46511627906976744,0.75,0.0,0.2441860465116279,0.5348837209302325,0.43023255813953487,0.03488372093023256,0.5,0.3488372093023256,0.9883720930232558,1.0,1.0,0.8953488372093024,1.0,0.569255679720796,forward_family_held_out,86,P_COMBINATION_WITH_ALTERNATIVES,final_seed_2026
,,,,,,,,,,,,,,,,,,,forward_family_held_out,0,P_COMPLEX,final_seed_2026
