metric,seed17,bm25,delta_seed17_minus_bm25,comparison_type
Hit@1,0.7031539888682746,0.44155844155844154,0.2615955473098331,descriptive_no_selection
Hit@5,0.8630797773654917,0.6486085343228201,0.21447124304267162,descriptive_no_selection
Hit@10,0.9031539888682746,0.7109461966604824,0.19220779220779216,descriptive_no_selection
Hit@25,0.9476808905380334,0.7840445269016698,0.16363636363636358,descriptive_no_selection
Hit@50,0.9662337662337662,0.8170686456400742,0.14916512059369202,descriptive_no_selection
Hit@100,0.9781076066790353,0.8478664192949907,0.13024118738404455,descriptive_no_selection
MRR,0.7760701834782977,0.5293880455344463,0.2466821379438514,descriptive_no_selection
