ChoiceListRecall@1,ChoiceListRecall@10,ChoiceListRecall@100,ChoiceListRecall@25,ChoiceListRecall@5,ChoiceListRecall@50,CompleteScenarioRetrieval@1,CompleteScenarioRetrieval@10,CompleteScenarioRetrieval@100,CompleteScenarioRetrieval@25,CompleteScenarioRetrieval@5,CompleteScenarioRetrieval@50,Hit@1,Hit@10,Hit@100,Hit@25,Hit@5,Hit@50,MRR,dataset,n,population,system
0.24147143444307437,0.6080969995889848,0.9200575421290588,0.7365392519523222,0.49732840115084254,0.8307644882860666,0.0,0.3871763255240444,0.8618988902589396,0.5721331689272503,0.2281134401972873,0.7213316892725031,0.5018495684340321,0.8273736128236745,0.9778051787916153,0.8988902589395807,0.7669543773119606,0.9395807644882861,0.6241736900509893,backward_stratified_test,811,P_COMBINATION,zero_shot_biolord
0.40131578947368424,0.8618421052631579,1.0,0.9868421052631579,0.6140350877192983,1.0,0.0,0.7368421052631579,1.0,0.9736842105263158,0.2894736842105263,1.0,0.868421052631579,1.0,1.0,1.0,0.9736842105263158,1.0,0.9210526315789473,backward_stratified_test,38,P_COMBINATION_WITH_ALTERNATIVES,zero_shot_biolord
,,,,,,,,,,,,,,,,,,,backward_stratified_test,0,P_COMPLEX,zero_shot_biolord
0.2865803534730785,0.7491779695848746,0.9817098232634607,0.8783394985614467,0.6206329634196465,0.94019728729963,0.0,0.5573366214549939,0.9630086313193588,0.7706535141800247,0.3637484586929716,0.8828606658446363,0.5906288532675709,0.9408138101109741,1.0,0.9852034525277436,0.8779284833538841,0.9975339087546239,0.7126968650198116,backward_stratified_test,811,P_COMBINATION,final_seed_17
0.4144736842105263,0.8552631578947368,1.0,1.0,0.6666666666666666,1.0,0.0,0.7105263157894737,1.0,1.0,0.39473684210526316,1.0,0.8947368421052632,1.0,1.0,1.0,0.9736842105263158,1.0,0.9342105263157895,backward_stratified_test,38,P_COMBINATION_WITH_ALTERNATIVES,final_seed_17
,,,,,,,,,,,,,,,,,,,backward_stratified_test,0,P_COMPLEX,final_seed_17
0.2896629675297986,0.7599671187833951,0.9817098232634607,0.886046033703247,0.6292642827784628,0.9447184545828196,0.0,0.5709001233045623,0.9630086313193588,0.781750924784217,0.37361282367447596,0.8927250308261405,0.5967940813810111,0.9494451294697904,1.0,0.9889025893958077,0.8853267570900123,0.9975339087546239,0.7191518483184572,backward_stratified_test,811,P_COMBINATION,final_seed_42
0.4144736842105263,0.8552631578947368,1.0,1.0,0.6535087719298245,1.0,0.0,0.7105263157894737,1.0,1.0,0.3684210526315789,1.0,0.8947368421052632,1.0,1.0,1.0,0.9736842105263158,1.0,0.9335839598997493,backward_stratified_test,38,P_COMBINATION_WITH_ALTERNATIVES,final_seed_42
,,,,,,,,,,,,,,,,,,,backward_stratified_test,0,P_COMPLEX,final_seed_42
0.28226469379367036,0.7559597205096589,0.9817098232634607,0.8804973284011508,0.6166255651459104,0.9453349773941635,0.0,0.5733662145499383,0.9630086313193588,0.7755856966707768,0.3588162762022195,0.8939580764488286,0.5819975339087546,0.9395807644882861,1.0,0.9839704069050554,0.87422934648582,0.9975339087546239,0.7063608523719499,backward_stratified_test,811,P_COMBINATION,final_seed_2026
0.4144736842105263,0.8552631578947368,1.0,1.0,0.6666666666666666,1.0,0.0,0.7105263157894737,1.0,1.0,0.39473684210526316,1.0,0.8947368421052632,1.0,1.0,1.0,0.9736842105263158,1.0,0.93796992481203,backward_stratified_test,38,P_COMBINATION_WITH_ALTERNATIVES,final_seed_2026
,,,,,,,,,,,,,,,,,,,backward_stratified_test,0,P_COMPLEX,final_seed_2026
