CompleteScenarioRetrieval@1,CompleteScenarioRetrieval@10,CompleteScenarioRetrieval@100,CompleteScenarioRetrieval@25,CompleteScenarioRetrieval@5,CompleteScenarioRetrieval@50,Hit@1,Hit@10,Hit@100,Hit@25,Hit@5,Hit@50,MRR,answerable_n,mapping_kind,n,noncombination_answerable_n
0.0,0.16658227848101265,0.5179746835443038,0.2729113924050633,0.10227848101265823,0.37924050632911394,,,,,,,,1975,COMBINATION,1975,0
0.0,0.116751269035533,0.6040609137055838,0.3299492385786802,0.025380710659898477,0.48223350253807107,,,,,,,,197,COMBINATION_WITH_ALTERNATIVES,197,0
