model,direction,protocol,partition,sample_population,slice,experiment_version,n,answerable_n,noncombination_answerable_n,combination_n,benchmark_version,Hit@1,ChoiceListRecall@1,CompleteScenarioRetrieval@1,Hit@5,ChoiceListRecall@5,CompleteScenarioRetrieval@5,Hit@10,ChoiceListRecall@10,CompleteScenarioRetrieval@10,Hit@25,ChoiceListRecall@25,CompleteScenarioRetrieval@25,Hit@50,ChoiceListRecall@50,CompleteScenarioRetrieval@50,Hit@100,ChoiceListRecall@100,CompleteScenarioRetrieval@100,MRR
SapBERT,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,COMBINATION_WITH_ALTERNATIVES,1.0,69,69,0,69,1.0,,0.1579710144927536,0.0,,0.3391304347826087,0.043478260869565216,,0.3874396135265701,0.08695652173913043,,0.4653381642512077,0.2028985507246377,,0.5414251207729469,0.2753623188405797,,0.6346618357487923,0.36231884057971014,
SapBERT,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,NO_MAP,1.0,85,0,0,0,1.0,,,,,,,,,,,,,,,,,,,
BioLORD-2023,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,LEXICAL_EXACT,1.0,469,469,469,0,1.0,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0
BioLORD-2023,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,LEXICAL_HIGH,1.0,527,527,524,3,1.0,0.9045801526717557,0.5,0.0,0.9904580152671756,0.5,0.0,0.9961832061068703,0.8333333333333334,0.6666666666666666,1.0,0.8333333333333334,0.6666666666666666,1.0,0.8333333333333334,0.6666666666666666,1.0,0.8333333333333334,0.6666666666666666,0.9447987445124849
BioLORD-2023,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,LEXICAL_MEDIUM,1.0,898,898,820,78,1.0,0.7585365853658537,0.16987179487179488,0.0,0.9390243902439024,0.46153846153846156,0.1794871794871795,0.973170731707317,0.5897435897435898,0.3076923076923077,0.9890243902439024,0.7067307692307693,0.44871794871794873,0.9963414634146341,0.8173076923076923,0.6410256410256411,1.0,0.9294871794871795,0.8589743589743589,0.8386440392413544
BioLORD-2023,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,LEXICAL_LOW,1.0,1019,934,882,52,1.0,0.41950113378684806,0.1528846153846154,0.0,0.7018140589569161,0.3153846153846154,0.0,0.7868480725623582,0.44519230769230766,0.057692307692307696,0.8798185941043084,0.6038461538461538,0.28846153846153844,0.9251700680272109,0.7038461538461539,0.46153846153846156,0.9512471655328798,0.8596153846153847,0.7307692307692307,0.547687696829068
BioLORD-2023,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,SINGLE_EXACT,1.0,704,704,704,0,1.0,0.9431818181818182,,,0.9857954545454546,,,0.9872159090909091,,,0.9928977272727273,,,0.9957386363636364,,,0.9971590909090909,,,0.9609541782603912
BioLORD-2023,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,SINGLE_APPROXIMATE,1.0,1449,1449,1449,0,1.0,0.621808143547274,,,0.8253968253968254,,,0.8792270531400966,,,0.9316770186335404,,,0.9599723947550034,,,0.9744651483781919,,,0.7152725543308537
BioLORD-2023,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,ALTERNATIVE,1.0,542,542,542,0,1.0,0.6826568265682657,,,0.8985239852398524,,,0.948339483394834,,,0.9797047970479705,,,0.985239852398524,,,0.992619926199262,,,0.7783792069833366
BioLORD-2023,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,COMBINATION,1.0,64,64,0,64,1.0,,0.2109375,0.0,,0.4765625,0.171875,,0.58984375,0.265625,,0.7109375,0.46875,,0.7734375,0.578125,,0.90625,0.8125,
BioLORD-2023,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,COMBINATION_WITH_ALTERNATIVES,1.0,69,69,0,69,1.0,,0.13333333333333336,0.0,,0.3391304347826087,0.043478260869565216,,0.49130434782608695,0.17391304347826086,,0.6307971014492754,0.3188405797101449,,0.7731884057971015,0.5652173913043478,,0.8942028985507247,0.7971014492753623,
BioLORD-2023,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,NO_MAP,1.0,85,0,0,0,1.0,,,,,,,,,,,,,,,,,,,
MedCPT,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,LEXICAL_EXACT,1.0,469,469,469,0,1.0,0.997867803837953,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,0.9985785358919688
MedCPT,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,LEXICAL_HIGH,1.0,527,527,524,3,1.0,0.8435114503816794,0.5,0.0,0.9790076335877863,0.5,0.0,0.9942748091603053,0.5,0.0,0.9980916030534351,0.8333333333333334,0.6666666666666666,0.9980916030534351,0.8333333333333334,0.6666666666666666,1.0,0.8333333333333334,0.6666666666666666,0.901661249741627
MedCPT,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,LEXICAL_MEDIUM,1.0,898,898,820,78,1.0,0.598780487804878,0.19284188034188032,0.0,0.8597560975609756,0.4946581196581197,0.11538461538461539,0.9146341463414634,0.5876068376068376,0.24358974358974358,0.9536585365853658,0.6875,0.4358974358974359,0.9695121951219512,0.7772435897435898,0.6025641025641025,0.9853658536585366,0.907051282051282,0.8333333333333334,0.7133684301934279
MedCPT,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,LEXICAL_LOW,1.0,1019,934,882,52,1.0,0.2585034013605442,0.2,0.0,0.4965986394557823,0.36730769230769234,0.019230769230769232,0.6077097505668935,0.45769230769230773,0.09615384615384616,0.7290249433106576,0.5394230769230769,0.23076923076923078,0.8095238095238095,0.6576923076923078,0.4230769230769231,0.86281179138322,0.7884615384615384,0.6346153846153846,0.37116069810141483
MedCPT,ICD9CM_to_ICD10CM,stratified,TEST,forward_stratified_test,SINGLE_EXACT,1.0,704,704,704,0,1.0,0.9019886363636364,,,0.9701704545454546,,,0.9857954545454546,,,0.9914772727272727,,,0.9928977272727273,,,0.9957386363636364,,,0.9306903788785054
