group,n,Hit@1,Hit@5,Hit@10,Hit@25,Hit@50,Hit@100,MRR
1,2153,0.7306084533209475,0.880631676730144,0.9219693450998606,0.9577333952624245,0.9772410589874594,0.9888527635856944,0.798660502900285
2-5,490,0.6877551020408164,0.9163265306122449,0.9571428571428572,0.9816326530612245,0.9877551020408163,0.9959183673469387,0.7892153491329289
6-20,47,0.5957446808510638,0.9148936170212766,0.9574468085106383,1.0,1.0,1.0,0.7239277271192164
21-100,3,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,0.5476190476190476
>100,2,0.5,1.0,1.0,1.0,1.0,1.0,0.625
