source_id,mapping_form,candidate_contained,partial_representation,masked_slot_count
track_a_v1.0:ICD9CM_TO_ICD10CM:80046,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80049,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80060,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80063,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80064,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80066,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80069,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80070,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80071,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80073,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80074,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80075,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80076,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80079,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80080,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80081,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80082,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80084,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80085,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80086,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80089,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80090,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80092,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80093,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80094,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80095,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80110,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80111,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80112,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80113,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80114,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80116,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80119,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80120,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80121,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80122,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80123,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80124,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80125,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80126,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80129,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80131,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80133,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80134,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80135,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80139,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80140,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80141,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80142,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80143,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80144,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80145,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80146,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80149,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80160,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80162,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80163,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80164,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80165,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80166,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80169,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80170,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80172,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80174,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80175,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80176,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80179,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80180,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80181,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80183,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80184,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80185,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80190,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80191,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80192,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80193,COMBINATION_WITH_ALTERNATIVES,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80194,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80196,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80199,COMBINATION_WITH_ALTERNATIVES,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80310,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80311,COMBINATION,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80313,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80314,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80315,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80316,COMBINATION,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80321,COMBINATION_WITH_ALTERNATIVES,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80322,COMBINATION_WITH_ALTERNATIVES,False,False,2
track_a_v1.0:ICD9CM_TO_ICD10CM:80323,COMBINATION_WITH_ALTERNATIVES,False,True,1
track_a_v1.0:ICD9CM_TO_ICD10CM:80325,COMBINATION_WITH_ALTERNATIVES,False,True,1
