source_id,mapping_form,scenario_count,choice_list_count,candidate_contained,partial_representation,masked_slot_count
track_a_v1.0:ICD9CM_TO_ICD10CM:80140,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80141,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80142,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80143,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80144,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80145,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80146,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80149,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80162,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80163,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80165,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80170,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80172,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80174,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80175,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80176,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80179,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80183,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80185,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80190,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
track_a_v1.0:ICD9CM_TO_ICD10CM:80191,COMBINATION_WITH_ALTERNATIVES,1,2,True,False,0
